,session_id,hit_date,hit_time,hit_number,hit_type,hit_referer,hit_page_path,event_category,event_action,event_label,event_value
53,7849724274691805034.1640244142.1640244142,2021-12-23,703.0,5,event,,sberauto.com/cars/all/mercedes-benz/e-klasse/d48351ad?rental_page=rental_car,card_web,view_card,,
54,7878108987701476473.1640252305.1640252305,2021-12-23,1832.0,3,event,,sberauto.com/cars/all/renault/logan/8c3c73f2?rental_page=rental_car&fbclid=paaazeoka4os63kusatzu_d-6jnreyioiahumb0q2r4_mu3nzkpwml7nxq3u0&external_browser_redirect=true,card_web,view_card,,
55,8235932625915871114.1640234891.1640234891,2021-12-23,2283.0,5,event,,sberauto.com/cars/all/renault/logan/8c3c73f2?rental_page=rental_car&fbclid=paaabjfzct5ikorr1culuclwuewgxyquyqpq6ysjzagd6sbmrj7r9lcyj_7vs,card_web,view_card,,
56,8257315017519798610.1640242146.1640242146,2021-12-23,2198.0,7,event,,sberauto.com/cars/all/renault/logan/8c3c73f2?utm_source_initial=google&utm_medium_initial=cpc&utm_campaign_initial=XHNUiSKKGTEpSAlaVMFQ|IogmZDrCkJeHXbgMnIIv&utm_content_initial=yXzSAJWSuRbYeLFyMVFl|YAMPmNsXaFeZWgexOKLv|xAEYTlJDbQNwQTLGxICQ|AkWQyPNqWZSACoyftGqo|lFpAoUqEvHoyZfCNRuCR|QTkdoNfmEYDQUpBDLlLV|dtYJKUplNmmKCOfiziff|wtdAydPFeYlxHioycsEq|aHSPdWXGkJravzWuwcJA|HbolMJUevblAbkHClEQa|kqZPVvZmXADsCZxIQwbv|QaGunexmXrztCWbLcYxs|OfdDOXSwHYclonQJpPxh|zzqmLVyalSXvuzexKnUV|HbolMJUevblAbkHClEQa&utm_term_initial=&rental_page=rental_car,card_web,view_card,,
57,8273765764465523579.1640247124.1640247124,2021-12-23,142.0,4,event,,sberauto.com/cars/all/mercedes-benz/e-klasse/d48351ad?rental_page=rental_car,card_web,view_card,,
58,2755966226403701630.1640248190.1640248190,2021-12-23,194.0,5,event,trXmoxcphNjuYcShOXwL,sberauto.com/cars/all/volkswagen/polo/e994838f?rental_page=rental_car+&fbclid=iwar0qq0oukrawf62twcyzuyce-9z2ibh5qtdfxdqpl8gmv9hxaupcbwyibie,card_web,view_card,,
59,2761064425598456408.1640244686.1640244686,2021-12-23,1849.0,7,event,,sberauto.com/cars/all/skoda/rapid/bf24b977?rental_page=rental_car&fbclid=paaab5erevtmfnearkkrdkxarz5rvxpvjay_ko2jifjheydfry0wmvoiy8ih0&external_browser_redirect=true,card_web,view_card,,
60,2530706414478031710.1640233887.1640233887,2021-12-23,32.0,3,event,trXmoxcphNjuYcShOXwL,sberauto.com/cars/all/nissan/qashqai/bfc21661?rental_page=rental_car&fbclid=iwar0jamhkqx1btw-fgmebgdstk1dz3fnc0prafj6qjdo9jefd6pchbl-uo2y,card_web,view_card,,
61,2530706414478031710.1640233887.1640233887,2021-12-23,1690.0,5,event,trXmoxcphNjuYcShOXwL,sberauto.com/cars/all/nissan/qashqai/bfc21661?rental_page=rental_car&fbclid=iwar0jamhkqx1btw-fgmebgdstk1dz3fnc0prafj6qjdo9jefd6pchbl-uo2y,card_web,view_card,,
62,2565335095108149452.1640233946.1640233946,2021-12-23,648.0,3,event,,sberauto.com/cars/all/kia/seltos/20f30855?utm_source_initial=google&utm_medium_initial=cpc&utm_campaign_initial=jvsVVQVKRfBIqBDBuCkq|nyJQufAIRtHFpfdZHSnK&utm_content_initial=yXzSAJWSuRbYeLFyMVFl|vFJYCsaLubDpnYloeEEP|xAEYTlJDbQNwQTLGxICQ|ihzSLoPCnXFXviyXtUhk|lFpAoUqEvHoyZfCNRuCR|RwOPMHQvcpoxYVZosxSX|dtYJKUplNmmKCOfiziff|MNnfNbngYIuaGdDeRmPm|aHSPdWXGkJravzWuwcJA|HbolMJUevblAbkHClEQa|kqZPVvZmXADsCZxIQwbv|QaGunexmXrztCWbLcYxs|OfdDOXSwHYclonQJpPxh|aKpdgMPHrBtgmCgKDxCp|HbolMJUevblAbkHClEQa&utm_term_initial=&rental_page=rental_car,card_web,view_card,,
63,2565335095108149452.1640233946.1640233946,2021-12-23,2218.0,7,event,,sberauto.com/cars/all/kia/seltos/20f30855?utm_source_initial=google&utm_medium_initial=cpc&utm_campaign_initial=jvsVVQVKRfBIqBDBuCkq|nyJQufAIRtHFpfdZHSnK&utm_content_initial=yXzSAJWSuRbYeLFyMVFl|vFJYCsaLubDpnYloeEEP|xAEYTlJDbQNwQTLGxICQ|ihzSLoPCnXFXviyXtUhk|lFpAoUqEvHoyZfCNRuCR|RwOPMHQvcpoxYVZosxSX|dtYJKUplNmmKCOfiziff|MNnfNbngYIuaGdDeRmPm|aHSPdWXGkJravzWuwcJA|HbolMJUevblAbkHClEQa|kqZPVvZmXADsCZxIQwbv|QaGunexmXrztCWbLcYxs|OfdDOXSwHYclonQJpPxh|aKpdgMPHrBtgmCgKDxCp|HbolMJUevblAbkHClEQa&utm_term_initial=&rental_page=rental_car,card_web,view_card,,
64,3129343422960499551.1640233822.1640233822,2021-12-23,64.0,3,event,trXmoxcphNjuYcShOXwL,sberauto.com/cars/all/skoda/rapid/bf24b977?rental_page=rental_car&fbclid=iwar17fbd2byytqlokkf-yaid4amxfulwmd22fjlstyk0f_m2a3kqphhbe9_8,card_web,view_card,,
65,2877834445958965330.1640261713.1640261713,2021-12-23,1.0,3,event,,sberauto.com/cars/all/haval/jolion/4930b1ba?rental_page=rental_car,card_web,view_card,,
66,3806145018004105779.1640262367.1640262367,2021-12-23,46.0,5,event,,sberauto.com/cars/all/toyota/camry/f28947a1?utm_source_initial=sbol&utm_medium_initial=push&utm_campaign_initial=sbJRYgVfvcnqKJNDDYIr&rental_page=rental_car,card_web,view_card,,
67,3935978043956567458.1640275363.1640275363,2021-12-23,1770.0,5,event,,sberauto.com/cars/all/renault/logan/8c3c73f2?rental_page=rental_car&fbclid=paaaysnu2s2tuzzj7plykaio0chcartmagknuncbzlwnnjtjt6lqe2ribqrta&external_browser_redirect=true,card_web,view_card,,
68,528657531716007233.1640264891.1640264891,2021-12-23,279.0,3,event,,podpiska.sberauto.com/?yclid=7645190563903103343,sub_page_view,sub_landing,,
69,3454191152679649419.1640267922.1640267922,2021-12-23,51.0,5,event,,sberauto.com/cars/all/renault/logan/8c3c73f2?rental_page=rental_car&fbclid=paaaztapggqk_8vt-kfvzk2rqoohxsqzaotusoziwlijx7eqs-uk96kzcqz5i_aem_awin9oigmmb2hdeoxik_loco9gibmq5zwqug1yqt-gqowfxufh0cyalbb8vayjyk9ubx4s5zep16zijcemgj7deb0kpjb_uszyml3ss3vhw1xu5bk-j_p40j_eevkhmxpig,card_web,view_card,,
70,3458465624391703169.1640277781.1640277781,2021-12-23,1226.0,5,event,zxPaddltVsJZegslUWyX,sberauto.com/cars/all/haval/jolion/4930b1ba?utm_source_initial=dzen&utm_medium_initial=cpc&utm_campaign_initial=okTXSMadDkjvntEHzIjp&utm_content_initial=LLfCasrxQzJIyuldcuWy&utm_term_initial=aXQzDWsJuGXeBXexNHjc&utm_referrer_initial=zxPaddltVsJZegslUWyX&rental_page=rental_car,card_web,view_card,,
